gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
C130060K24Rik,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
C130071C03Rik,0.005,0,0,0.001,0,0.001,0.001,0,0,0,0.011,0,0.12,0
C130074G19Rik,0.101,0.006,1.603,1.034,0.603,0.009,0.209,0.051,0,0.006,0.002,0.087,0.008,0
C1d,1.389,1.377,1.384,1.285,1.077,1.235,1.166,1.381,0.746,1.419,0.944,0.98,1.245,0.295
C1galt1,0.172,0.122,0.207,0.176,0.135,0.223,0.144,0.197,0.099,0.133,0.188,0.1,0.093,0
C1galt1c1,0,0.271,0.323,0.202,0.083,0.354,0.146,0.127,0.124,0.212,0.011,0.325,0.581,0.084
C1qa,0,0.001,0.015,0,0.006,0.001,0.008,0.006,0,0.004,0.004,0,0,0
C1qb,0,0.001,0,0.005,0.012,0.001,0.01,0.004,0,0.003,0.005,0,0,0
C1qbp,0.878,1.195,0.767,0.651,0.553,0.748,0.58,0.912,1.504,0.717,0.583,1.015,0.924,2.259
C1qc,0,0.002,0,0.006,0.003,0.001,0.007,0.007,0,0.002,0.006,0,0,0
C1ql1,0.015,0.037,0,0.001,0,0.006,0,0,0.128,0.007,0.003,0.005,0,0
C1ql3,0,0.001,0,0,0.001,0.013,0,0.001,0.033,0.015,0.001,0,0.092,0
C1qtnf1,0.565,0.108,0.074,0.276,0.824,0.155,0.127,0.197,0.014,0.353,0.099,0.383,0,0.157
C1qtnf2,0.024,0.32,0.015,0.018,0.001,0.797,0.143,0.021,0.163,1.082,0.012,0.765,0.017,0.412
C1qtnf3,0.039,2.05,0,0.015,0.011,0.254,0.013,0.006,2.917,0.591,0.026,0.124,0,0
C1qtnf4,0.035,0.442,0.039,0.047,0.076,0.078,0.019,0.022,0.084,0.187,0.022,0.069,0,0
C1qtnf6,0.655,0.848,0.11,0.274,0.263,0.357,0.584,1.156,0.073,1.557,1.829,1.144,0,0.4
C1qtnf7,0.021,0.024,0,0.009,0.001,0.427,0.127,0.02,0.062,0.076,0.014,0.515,0.068,0.536
C1qtnf9,0,0.003,7.373,0.35,0.003,0.01,0.005,0.004,0.025,0.001,0,0.012,0,0.147
C1ra,0.38,0.045,0.016,0.07,0.096,0.48,3.716,0.908,0.199,0.491,0.054,0.298,0.044,0.418
C1rb,0,0,0,0.003,0,0.007,0.042,0.01,0.009,0.004,0.001,0.011,0,0
C1rl,0.038,0.047,0,0.001,0.008,0.081,0.123,0.083,0.028,0.074,0.005,0.036,0,0
C1s1,0.042,0.032,0.034,0.015,0.028,0.672,2.373,0.496,0.14,0.506,0.018,2.405,0,2.077
C1s2,0,0,0,0,0,0.009,0.016,0.004,0,0.006,0,0,0,0.193
C2,0.092,0.018,0,0.007,0.015,0.042,1.662,0.223,0,0.097,0.014,0.096,0.051,0
C230014O12Rik,0.036,0.001,0,0.006,0.102,0,0.001,0.001,0,0.001,0,0,0,0
