gene,C,Chondrocytes,EC-Arteriar,EC-Arteriolar,EC-Sinusoidal,Fibroblasts,MSPC-Adipo,MSPC-Osteo,Myofibroblasts,Osteo,Osteoblasts,Pericytes,Schwann-cells,Smooth-muscle
0610007P14Rik,0.613,0.566,0.307,0.367,0.227,0.362,0.642,0.682,0.292,0.418,0.249,0.325,1.973,0.265
0610009B22Rik,0.591,0.78,0.338,0.334,0.242,0.489,0.447,0.338,0.077,0.427,0.273,0.479,0.647,0.341
0610009L18Rik,0.037,0.127,0.038,0.044,0.065,0.089,0.126,0.109,0.171,0.12,0.049,0.19,0.147,0.643
0610009O20Rik,0.42,0.279,0.455,0.363,0.407,0.208,0.146,0.196,0.198,0.235,0.133,0.446,0.373,0.566
0610010F05Rik,0.226,0.115,0.153,0.15,0.103,0.251,0.09,0.112,0.038,0.212,0.043,0.105,0.117,0
0610010K14Rik,0.944,0.295,0.719,1.108,0.997,0.483,0.49,0.283,0.19,0.456,0.131,0.35,0.536,0.683
0610011F06Rik,0.158,0.275,0.119,0.163,0.185,0.335,0.198,0.276,0.432,0.278,0.266,0.264,0.391,0.129
0610012D04Rik,0,0.001,0,0,0,0.003,0.003,0.001,0,0.002,0.002,0,0,0
0610012G03Rik,1.029,1.331,1.574,1.584,1.168,1.167,1.041,0.967,0.523,1.156,0.73,0.924,0.621,0.245
0610025J13Rik,0,0.001,0,0.001,0,0.006,0.001,0,0,0,0,0,0,0
0610030E20Rik,0.236,0.224,0.26,0.274,0.191,0.245,0.517,0.393,0.465,0.271,0.11,0.53,0.257,0
0610033M10Rik,0,0.001,0,0.004,0.026,0,0.001,0.003,0,0.003,0.008,0,0,0
0610037L13Rik,0.463,0.565,0.63,0.62,0.524,0.517,0.544,0.541,0.691,0.575,0.597,0.385,0.754,0.994
0610038B21Rik,0.021,0.01,0,0.003,0.004,0.007,0.01,0.01,0,0.011,0.004,0,0,0
0610039K10Rik,0,0.004,0.008,0.008,0.009,0.001,0.01,0.007,0.011,0.003,0.002,0.009,0,0
0610040B10Rik,0.147,0.045,0.067,0.064,0.053,0.03,0.043,0.041,0.05,0.027,0.03,0.013,0.037,0.084
0610040F04Rik,0,0.005,0,0.003,0,0.002,0.001,0,0,0,0,0,0,0
0610040J01Rik,0.007,0.002,0,0,0.001,0.01,0,0,0,0.007,0,0,0,0
0610043K17Rik,0,0.023,0.006,0.011,0.013,0.023,0.014,0.007,0.016,0.012,0.001,0,0,0
1010001B22Rik,0,0.019,0.025,0.007,0.013,0.009,0.013,0.007,0.032,0.018,0.009,0.007,0.089,0
1110001J03Rik,0.718,0.746,1.015,0.57,0.488,0.941,0.911,0.751,1.011,0.719,0.438,1.378,0.966,1.843
1110002E22Rik,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
1110002J07Rik,0,0.002,0,0.004,0,0,0,0,0,0,0.001,0,0,0
1110002L01Rik,0.056,0.078,0.035,0.046,0.03,0.052,0.027,0.04,0.038,0.043,0.021,0.013,0.082,0
1110002O04Rik,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0
1110004E09Rik,0.22,0.283,0.351,0.31,0.264,0.327,0.279,0.254,0.383,0.284,0.115,0.335,0.304,0.28
1110004F10Rik,1.589,1.334,1.141,1.113,0.998,1.199,1.36,1.567,1.001,1.431,1.068,1.673,1.313,1.992
1110006O24Rik,0,0.03,0.015,0.02,0.019,0.008,0.028,0.028,0,0.016,0.029,0,0.011,0
1110008F13Rik,1.33,1.83,1.287,1.098,1.094,1.491,1.785,1.626,0.792,1.445,1.203,1.736,1.14,1.894
1110008L16Rik,0.01,0.043,0.064,0.059,0.04,0.03,0.02,0.024,0.107,0.034,0.029,0.025,0.055,0
1110008P14Rik,0.361,0.802,0.762,0.348,0.362,0.79,0.453,0.626,0.231,0.916,0.41,0.736,0.242,0.311
1110012L19Rik,0,0.204,0.158,0.157,0.079,0.245,0.126,0.12,0.118,0.117,0.003,0.156,0.25,0.148
1110017D15Rik,0,0.008,0.004,0.007,0.002,0.003,0.001,0.001,0,0,0,0,0,0
1110019D14Rik,0.019,0.117,0.014,0.036,0.025,0.086,0.044,0.044,0,0.053,0.038,0.076,0.054,0
1110020A21Rik,0.035,0.021,0.041,0.002,0.006,0.015,0.02,0.017,0,0.014,0.009,0.048,0.04,0
1110032A03Rik,0.168,0.299,0.21,0.18,0.173,0.246,0.298,0.262,0.165,0.289,0.137,0.262,0.338,0.189
1110032F04Rik,0,0.017,0,0,0.007,0,0.001,0,0,0,0,0,0,0
1110034G24Rik,0.117,0.101,0.088,0.132,0.093,0.116,0.121,0.139,0.053,0.086,0.055,0.143,0.135,0
1110035H17Rik,0.02,0.029,0.224,0.129,0.065,0.045,0.08,0.057,0.046,0.035,0.011,0.095,0.023,0.147
1110037F02Rik,0.08,0.138,0.127,0.145,0.197,0.12,0.145,0.168,0.086,0.151,0.165,0.17,0.101,0.084
1110038F14Rik,0.307,0.419,0.829,0.724,0.571,0.483,0.704,0.741,0.502,0.561,0.285,0.872,0.461,0.412
1110046J04Rik,0.135,0.063,0.079,0.084,0.072,0.115,0.192,0.134,0.055,0.129,0.012,0.327,0.043,0
1110051M20Rik,0.156,0.094,0.043,0.064,0.044,0.146,0.14,0.39,0.286,0.2,0.138,0.205,0.196,0
1110059E24Rik,0.567,0.225,0.7,0.632,0.549,0.241,0.393,0.35,0.198,0.283,0.277,0.786,0.244,0.136
1110059G10Rik,0.39,0.264,0.426,0.324,0.252,0.273,0.337,0.332,0.324,0.322,0.177,0.25,0.136,0.084
1110065P20Rik,0.492,1.316,0.343,0.355,0.34,0.663,0.539,0.734,0.464,0.889,0.763,0.723,0.881,0.408
1190002N15Rik,0.678,1.416,0.444,0.134,0.289,0.23,0.506,0.981,0.38,0.71,0.414,0.157,0.414,0.154
1190005I06Rik,0.107,0.079,0.004,0.002,0.003,0.014,0.013,0.017,0.008,0.034,0.029,0,1.378,0
1190007I07Rik,0.232,0.114,0.116,0.111,0.144,0.117,0.132,0.165,0.086,0.115,0.124,0.227,0.125,0
1200007C13Rik,0.153,0,0.013,0.011,0.215,0.003,0.069,0.06,0.04,0.002,0.008,0.043,0,0
1300002E11Rik,0.312,0.295,0.441,0.378,0.387,0.319,0.361,0.297,0.299,0.263,0.121,0.45,0.202,0.154
1300017J02Rik,0,0.003,0,0,0.005,0.002,0.007,0.001,0,0,0.003,0,0,0
1500002C15Rik,0.018,0.029,0.022,0.012,0.03,0.023,0.02,0.024,0.011,0.045,0.03,0.03,0.045,0
1500002F19Rik,0,0.014,0,0.013,0.005,0.012,0.006,0.01,0,0.014,0.006,0.007,0.03,0
1500009L16Rik,0.461,0.056,0.084,0.045,0.056,0.135,5.733,1.029,0.045,0.098,0.026,3.014,0.039,0.886
1500011B03Rik,0.053,0.094,0.099,0.136,0.113,0.068,0.123,0.081,0,0.073,0.072,0.105,0.851,0
1500011K16Rik,0.348,0.857,0.908,0.617,0.664,0.634,0.556,0.609,0.516,0.648,0.264,0.836,0.655,0.754
1500015A07Rik,0.065,0.044,0.082,0.048,0.04,0.022,0.046,0.041,0.04,0.022,0.019,0.022,0,0
1500015L24Rik,0,0,0,0,0,0.001,0,0,0,0,0,0.031,0.101,0
1500015O10Rik,0.511,52.332,1.129,0.684,0.312,42.278,1.256,1.511,0.577,17.795,0.412,1.288,0.092,0
1500026H17Rik,0,0.026,0.003,0.02,0.049,0.019,0.03,0.027,0.008,0.035,0.013,0.045,0.104,0.438
1520401A03Rik,0,0.001,0,0.002,0,0.001,0.001,0,0,0.002,0,0,0,0
1600002D24Rik,0,0,0,0.016,0.003,0,0,0,0,0,0,0,0,0
1600002H07Rik,0.048,0.022,0.007,0.03,0.025,0.037,0.06,0.05,0.013,0.022,0.013,0.008,0.024,0
1600002K03Rik,0.026,0.245,0.121,0.131,0.115,0.27,0.209,0.209,0.093,0.252,0.116,0.179,0.031,0.084
1600012H06Rik,0.142,0.305,0.393,0.434,0.264,0.316,0.428,0.358,0.172,0.354,0.216,0.23,0.133,0
1600014C10Rik,0.137,0.155,0.143,0.131,0.455,0.094,0.187,0.137,0.021,0.155,0.079,0.166,0.087,0.241
1600014C23Rik,0,0.004,0,0,0,0.001,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0.022,0.037,0,0,0,0.516,0,0
1600020E01Rik,0.199,0.199,0.287,0.244,0.247,0.149,0.275,0.255,0.136,0.166,0.09,0.245,0.304,0
1700001C19Rik,0,0,0,0.049,0.026,0.001,0,0.002,0,0,0.002,0,0,0
1700001K19Rik,0,0.001,0.006,0.004,0.005,0,0.003,0.002,0,0.001,0.001,0,0,0
1700001L05Rik,0.009,0.005,0,0,0.001,0.003,0.003,0.003,0,0.001,0,0.005,0,0
1700001L19Rik,0.014,0.016,0,0,0.001,0.022,0.01,0.009,0,0.027,0.001,0,0,0
1700001O22Rik,0,0.005,0.017,0.002,0.003,0.003,0.001,0.001,0,0.001,0,0,0,0
1700003E16Rik,0,0.009,0,0,0,0.016,0,0.002,0,0.002,0,0,0,0
1700003F12Rik,0.09,0.001,0,0,0.003,0.01,0.005,0.109,0.022,0.011,0.213,0.032,0,0
1700003M07Rik,0,0.009,0,0,0,0,0,0,0,0.002,0,0,0,0
1700007B14Rik,0,0.003,0,0,0.001,0.003,0.001,0,0,0,0,0,0,0
1700007G11Rik,0,0.001,0,0.003,0,0.002,0.001,0.006,0,0.001,0.005,0,0,0
1700007K13Rik,0,0.001,0,0,0,0,0.001,0.001,0,0.001,0.001,0.034,0,0
1700007L15Rik,0.057,0.048,0.016,0.012,0.038,0.018,0.03,0.019,0.03,0.03,0.018,0.019,0.024,0
1700008B11Rik,0,0.001,0,0.006,0.003,0,0,0,0,0.001,0,0,0,0
1700008J07Rik,0.148,0.142,0.055,0.084,0.123,0.052,0.079,0.059,0.061,0.05,0.022,0.082,0.047,0
1700008O03Rik,0,0.003,0,0.001,0.001,0.003,0.006,0.004,0,0,0.002,0.007,0.022,0.084
1700010H22Rik,0,0,0,0,0,0,0,0.016,0,0,0.111,0,0,0
1700010I14Rik,0.018,0.003,0,0.001,0.003,0.001,0.01,0.005,0,0.001,0.009,0.008,0.028,0
1700011E24Rik,0,0,0,0,0.001,0,0,0,0,0,0.004,0,0,0
1700011L22Rik,0,0,0,0.002,0,0.002,0,0,0,0.008,0,0,0,0
1700012C14Rik,0,0.015,0,0,0,0,0.001,0,0,0.009,0,0,0,0
1700013F07Rik,0,0.002,0,0,0,0,0.001,0,0,0,0,0,0,0
1700016C15Rik,0,0.007,0,0,0,0.006,0,0,0,0.007,0,0.021,0,0
1700016G22Rik,0,0.004,0,0.008,0.001,0.001,0.001,0.001,0,0.002,0.001,0,0,0
1700017B05Rik,0.071,0.09,0.009,0.043,0.036,0.051,0.128,0.074,0.081,0.106,0.032,0.134,0,0
1700017G19Rik,0,0.001,0,0,0,0,0.004,0.005,0,0.003,0,0,0,0
1700018A04Rik,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,0.014,0.004,0.014,0.008,0.007,0.004,0.063,0.005,0.007,0.012,0.004,0,0,0
1700019D03Rik,0,0.002,0,0,0.001,0.142,0.005,0.002,0.008,0.024,0.04,0,0.124,0
1700019G17Rik,0,0.002,0,0,0.001,0.007,0.005,0.001,0,0,0,0,0.04,0
1700019G24Rik,0.03,0.042,0,0.002,0.001,0.005,0.006,0.005,0,0.002,0.007,0.009,0,0
1700020D05Rik,0,0.001,0.017,0.004,0.003,0.004,0.003,0.005,0,0.007,0.001,0,0,0
1700020I14Rik,1.288,0.806,1.297,1.526,1.343,0.632,0.869,0.811,0.362,0.722,0.357,0.974,0.18,1.482
1700020L24Rik,0,0.003,0,0.002,0.002,0.003,0.005,0.001,0,0.01,0.002,0,0.046,0
1700021F05Rik,0.211,0.288,0.097,0.17,0.149,0.351,0.348,0.328,0.338,0.316,0.169,0.527,0.237,0.99
1700021F13Rik,0,0.001,0,0,0,0.002,0.001,0,0,0,0,0,0,0
1700022I11Rik,0.019,0,0,0.003,0.001,0,0.001,0.003,0,0.002,0.001,0.012,0.008,0
1700022N22Rik,0,0.002,0,0,0.001,0.001,0.001,0.001,0,0,0,0,0,0
1700023F06Rik,0,0.112,0,0.001,0.001,0.07,0.013,0.005,0,0.089,0.001,0.004,0.013,0
1700025B11Rik,0,0,0.011,0.012,0.006,0,0,0.001,0,0,0,0,0,0
1700025G04Rik,0.795,2.189,0.559,0.684,1.704,1.463,0.621,0.541,0.386,0.584,0.247,0.844,0.257,0
1700026L06Rik,0,0.004,0,0.001,0,0,0.001,0.002,0,0.007,0.002,0,0,0
1700028J19Rik,0,0.012,0,0.024,0.012,0.005,0.008,0.016,0,0.012,0.021,0,0.018,0
1700029I15Rik,0,0.01,0.014,0.001,0.005,0.007,0.031,0.01,0,0.004,0.002,0.046,0,0
1700029J03Rik,0,0.001,0,0.002,0.02,0,0.014,0,0,0.001,0.002,0,0,0
1700029J07Rik,0.018,0.047,0.037,0.026,0.019,0.027,0.072,0.037,0.033,0.022,0.011,0.046,0.061,0
1700030J22Rik,0,0.008,0,0.002,0.003,0.003,0.003,0.005,0.009,0.01,0.003,0,0,0.168
1700030K09Rik,0.035,0.038,0.038,0.04,0.038,0.03,0.049,0.076,0.077,0.04,0.017,0.022,0.079,0
1700031P21Rik,0,0.002,0.005,0,0.001,0,0.002,0,0.01,0.001,0,0,0,0
1700034E13Rik,0,0,0,0,0,0.002,0.004,0,0,0,0,0,0,0
1700034H15Rik,0,0.003,0,0.002,0.001,0.001,0,0,0,0,0,0,0,0
1700034I23Rik,0,0.001,0,0,0.001,0.002,0,0,0,0,0,0,0,0
1700034P13Rik,0,0.002,0.006,0,0.001,0.001,0.002,0.007,0,0,0.001,0.014,0.016,0
1700036A12Rik,0,0.001,0,0.002,0,0.002,0.002,0.002,0,0,0.005,0.026,0,0
1700037C18Rik,0.026,0.052,0.028,0.055,0.055,0.021,0.06,0.056,0.011,0.042,0.016,0.054,0.069,0
1700037H04Rik,0.12,0.067,0.148,0.086,0.113,0.137,0.261,0.114,0.081,0.085,0.064,0.082,0.071,0
1700039M10Rik,0.019,0.01,0,0.011,0.006,0.002,0.005,0,0,0.003,0.003,0,0,0
1700040L02Rik,0,0.001,0,0,0.001,0,0.001,0.001,0.018,0.001,0.002,0.011,0,0
1700041G16Rik,0.009,0.01,0.044,0.031,0.009,0.006,0.007,0.01,0,0.006,0.008,0,0,0
1700041M19Rik,0,0,0,0,0,0.002,0,0.001,0,0.002,0,0,0.052,0
1700042O10Rik,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,0,0,0,0,0,0.003,0,0,0,0.003,0,0.01,0,0
1700047I17Rik2,0.023,0.005,0.024,0.005,0.006,0.009,0.016,0.024,0.01,0.023,0.014,0,0.103,0
1700047M11Rik,0,0.156,0,0.001,0.002,0.007,0.002,0.003,0,0,0.003,0,1.425,0
1700048O20Rik,0.015,0.015,0,0.005,0.003,0.006,0.015,0.036,0,0.024,0.016,0.013,0.009,0
1700049E15Rik,0,0.016,0,0,0,0.003,0,0,0,0.007,0,0,0,0
1700049G17Rik,0.066,0.029,0.036,0.025,0.015,0.017,0.038,0.029,0.016,0.01,0.017,0.022,0.03,0
1700052K11Rik,0.048,0.073,0.058,0.095,0.073,0.047,0.076,0.067,0.065,0.069,0.05,0.092,0.011,0.258
1700055D18Rik,0.011,0.004,0,0.011,0.008,0.004,0.015,0.011,0,0.006,0.002,0,0,0
1700056E22Rik,0,0.006,0,0.016,0.008,0.006,0.035,0.02,0.026,0.015,0.012,0.038,0.01,0
1700056N10Rik,0,0.003,0.006,0.011,0.012,0.003,0.007,0.005,0,0,0.002,0,0,0
1700057G04Rik,0.005,0,0,0.006,0.002,0,0.001,0.001,0,0,0.004,0,0,0
1700058P15Rik,0,0.009,0.009,0.02,0.012,0.002,0.017,0.012,0.019,0.003,0.007,0.114,0,0
1700060C20Rik,0,0.001,0,0,0,0.001,0,0,0,0,0,0.008,0,0
1700061G19Rik,0,0,0,0.001,0,0.004,0,0,0,0.003,0,0,0,0
1700063D05Rik,0,0.001,0,0,0,0,0.001,0.001,0,0,0,0,0.317,0
1700064M15Rik,0,0.01,0,0,0.001,0.003,0.003,0,0,0.001,0.001,0,0,0
1700065D16Rik,0,0.002,0,0.003,0.003,0.002,0.002,0,0,0,0.001,0,0.015,0
1700065J11Rik,0,0.003,0,0,0,0,0,0,0,0.001,0,0.009,0,0
1700066B17Rik,0,0,0,0.002,0,0,0.007,0.003,0,0,0,0,0,0
1700066B19Rik,0.04,0.005,0,0.03,0.015,0.007,0.014,0.013,0.007,0.005,0.005,0,0.01,0
1700066M21Rik,0.226,0.032,0.041,0.028,0.056,0.03,0.063,0.153,0.008,0.035,0.226,0.076,0.197,0
1700067K01Rik,0,0.002,0.02,0.004,0.004,0.002,0.006,0.002,0,0.004,0.002,0,0,0
1700069B07Rik,0,0,0,0.003,0.001,0,0,0.001,0.007,0.001,0,0,0.022,0
1700072G22Rik,0,0,0,0.009,0.018,0,0.001,0,0,0.004,0,0,0,0
1700084C06Rik,0,0.005,0,0.005,0.001,0.001,0,0.003,0,0.003,0.007,0,0,0
1700084E18Rik,0.017,0.016,0.018,0.048,0.045,0.008,0.011,0.009,0.014,0.011,0.01,0.022,0.013,0
1700086D15Rik,0,0.001,0,0.002,0,0.002,0,0,0,0,0,0,0,0
1700086L19Rik,0,0.101,0,0,0.001,0.026,0.001,0.001,0.079,0.005,0.001,0,0,0
1700086O06Rik,0.12,0.054,0.053,0.075,0.081,0.017,0.049,0.057,0.016,0.036,0.036,0.185,0.068,0
1700086P04Rik,0.012,0.009,0,0.007,0.021,0.004,0.004,0.004,0,0.015,0.002,0,0,0
1700088E04Rik,0.014,0.051,0.007,0.007,0.005,0.047,0.027,0.024,0.02,0.066,0.021,0.051,0,0
1700092M07Rik,0,0.001,0,0.001,0,0,0.001,0.003,0,0.003,0.001,0,0,0
1700093K21Rik,0.01,0.003,0,0.004,0.01,0.001,0.002,0.006,0,0.002,0.044,0,0,0
1700095J07Rik,0,0.001,0,0.007,0.001,0.001,0,0.003,0,0,0,0,0,0
1700096K18Rik,0.09,0.088,0.078,0.094,0.103,0.062,0.064,0.069,0.043,0.053,0.06,0.064,0.183,0
1700097N02Rik,0.016,0.002,0,0.007,0.001,0.001,0.003,0.004,0,0.002,0.001,0.013,0,0
1700102P08Rik,0.009,0.006,0.017,0.012,0.011,0.006,0.005,0.002,0.012,0.004,0.005,0,0,0
1700104B16Rik,0,0.001,0,0.001,0,0.001,0,0,0,0,0.004,0,0,0
1700105P06Rik,0,0.005,0,0.023,0.006,0.001,0.009,0.009,0,0.005,0.003,0.024,0,0
1700109H08Rik,0.013,0.007,0,0.01,0.021,0.007,0.017,0.011,0.05,0.008,0.004,0,0,0
1700112D23Rik,0,0.003,0,0,0,0.003,0,0,0,0.003,0,0,0.035,0
1700112E06Rik,0.128,0.024,0.051,0.043,0.124,0.028,0.097,0.067,0.018,0.026,0.017,0.098,0.181,0
1700112J16Rik,0,0.013,0,0.01,0.003,0.002,0.003,0.003,0,0.005,0.033,0.012,0,0
1700113A16Rik,0,0.108,0.061,0.019,0.034,0.038,0.046,0.058,0.025,0.041,0.015,0.011,0.207,0
1700123I01Rik,0,0.005,0.009,0.011,0.002,0,0.001,0,0,0.023,0,0,0,0
1700123O20Rik,0.556,0.521,0.583,0.743,0.581,0.557,0.59,0.595,0.591,0.561,0.384,0.431,0.479,0.396
1700124L16Rik,0,0.002,0,0,0.001,0.001,0.004,0.004,0,0.002,0.004,0,0.02,0
1700125H20Rik,0,0.003,0,0,0.004,0,0,0,0,0.001,0,0,0,0
1810006J02Rik,0,0,0.016,0.089,0,0.001,0,0,0,0,0,0,0,0
1810008I18Rik,0,0.008,0.018,0.001,0,0.01,0,0,0.007,0,0.002,0,0,0
1810009A15Rik,0.076,0.003,0.014,0.018,0.024,0.006,0.023,0.032,0,0.025,0.019,0.009,0,0
1810010H24Rik,0,0.037,0,0.009,0.009,0.02,0.092,0.012,0.047,0.021,0.007,0.041,0.039,0
1810011H11Rik,0.104,0.005,0,0.021,0.616,0.002,0.005,0.017,0,0,0.001,0.379,0,0
1810011O10Rik,0.208,0.017,3.399,3.659,1.169,0.034,0.05,0.065,1.195,0.085,0.017,0.888,0,1.268
1810012K16Rik,0,0.007,0,0,0,0.001,0.001,0.002,0,0,0.001,0,0,0
1810013L24Rik,0.152,0.266,0.216,0.337,0.336,0.259,0.317,0.228,0.376,0.245,0.166,0.221,0.235,0
1810014B01Rik,0,0.014,0.032,0.013,0.016,0.016,0.014,0.028,0.008,0.017,0.022,0,0,0.244
1810019N24Rik,0,0.001,0,0.002,0.014,0.002,0.004,0.006,0,0.001,0.002,0,0,0.172
1810022K09Rik,0.922,0.832,0.755,0.634,0.572,0.69,0.853,1.008,0.48,0.813,0.608,0.941,0.462,0.624
1810024B03Rik,0.253,0.073,0.061,0.037,0.048,0.042,0.125,0.167,0.007,0.081,0.112,0.075,0.051,0.232
1810026J23Rik,0.14,0.135,0.276,0.185,0.186,0.187,0.25,0.271,0.101,0.202,0.131,0.233,0.349,0.53
1810030O07Rik,0,0.115,0.279,0.137,0.076,0.17,0.127,0.094,0.121,0.112,0.025,0.2,0.108,0
1810032O08Rik,0.212,0.103,0.142,0.133,0.17,0.076,0.151,0.166,0.414,0.086,0.106,0.197,0.272,0
1810034E14Rik,0.011,0.025,0,0.008,0.003,0.1,0.054,0.058,0.021,0.077,0.025,0.024,0,0
1810037I17Rik,3.845,2.844,2.632,2.682,1.911,2.663,3.018,1.952,3.175,2.214,1.058,2.187,6.808,2.656
1810041H14Rik,0,0.015,0,0.001,0.004,0.001,0.001,0.006,0,0.007,0.01,0,0,0
1810041L15Rik,0,0.006,0,0,0,0.004,0.003,0.001,0,0.127,0.003,0,0,0
1810043G02Rik,0.059,0.285,0.124,0.151,0.115,0.188,0.195,0.187,0.166,0.176,0.092,0.314,0.935,0.118
1810043H04Rik,0.549,0.918,0.787,0.729,0.773,0.983,0.831,0.86,0.676,0.849,0.314,0.988,0.458,0.96
1810044D09Rik,0.067,0.04,0.046,0.03,0.047,0.008,0.022,0.023,0.006,0.008,0.022,0,0.03,0
1810049J17Rik,0,0.003,0,0,0.002,0.002,0,0.002,0,0.004,0.003,0,0,0
1810055G02Rik,0.135,0.635,0.108,0.058,0.054,0.48,0.227,0.263,0.575,0.449,0.608,0.269,0.253,0.468
1810058I24Rik,1.106,3.032,1.472,1.562,1.183,1.354,1.324,1.851,0.842,2.086,1.171,1.555,1.446,1.145
1810062G17Rik,0.021,0.103,0.014,0.004,0.009,0.028,0.026,0.035,0.041,0.071,0.094,0.054,0.011,0.314
1810062O18Rik,0.031,0.021,0,0.013,0.016,0.025,0.041,0.031,0.005,0.026,0.015,0.02,0,0
2010005H15Rik,0,0,0,0,0,0,0.003,0.002,0,0,0,0,0,0
2010007H06Rik,0.009,0.012,0.014,0.007,0.003,0.011,0.132,0.026,0.007,0.015,0.001,0.023,0,0
2010015M23Rik,0,0.023,0.007,0.025,0.018,0.009,0.017,0.015,0.052,0.012,0.009,0,0,0
2010107E04Rik,4.256,2.312,2.024,2.536,2.979,1.924,2.676,3.503,2.266,2.463,3.073,3.245,2.948,8.145
2010107G12Rik,0,0.001,0,0,0.001,0.002,0,0,0,0,0.002,0.01,0,0
2010107G23Rik,0,0.023,0.006,0.001,0.001,0.022,0,0.002,0,0.016,0.004,0,0.038,0
2010109A12Rik,0.043,0.021,0.029,0.072,0.066,0.017,0.035,0.019,0.032,0.032,0.033,0,0,0
2010110K18Rik,0.018,0.002,0,0,0,0.001,0.002,0.001,0,0.001,0,0,0,0
2010111I01Rik,0.45,1.816,1.733,1.003,0.431,1.814,0.279,0.498,1.333,2.329,0.303,2.314,0.533,1.485
2010300C02Rik,0.008,0.006,0,0.001,0.001,0.001,0,0.01,0,0.004,0.087,0,0,0
2010300F17Rik,0,0.001,0,0.005,0.004,0,0,0,0,0.002,0,0,0,0
2010315B03Rik,0.074,0.066,0.185,0.07,0.053,0.069,0.089,0.057,0.03,0.054,0.02,0.067,0.148,0
2010320M18Rik,0.141,0.271,0.103,0.144,0.184,0.191,0.283,0.27,0.084,0.271,0.177,0.247,0.105,0.325
2200002D01Rik,0.228,0.047,1.372,0.587,1.141,0.266,0.029,0.036,0.107,0.206,0.044,0.117,0.137,0.148
2200002J24Rik,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
2210008F06Rik,0,0.002,0.025,0.003,0,0.005,0.002,0.001,0,0.003,0.001,0,0,0
2210011C24Rik,0,0.003,0,0,0.001,0.003,0.002,0.001,0,0.002,0.002,0,0.104,0
2210011K15Rik,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0
2210013O21Rik,0,1.008,1.374,1.163,0.893,0.754,0.565,0.433,0.342,0.645,0.056,1.474,0.393,1.331
2210016F16Rik,0.163,0.436,0.096,0.381,0.422,0.433,0.61,0.442,0.301,0.445,0.235,0.61,0.282,0.473
2210016L21Rik,0.325,0.372,0.414,0.438,0.384,0.401,0.341,0.43,0.35,0.468,0.21,0.586,0.792,0.136
2210404O09Rik,0,0.034,0.033,0.039,0.033,0.046,0.028,0.04,0.006,0.025,0.014,0.049,0.024,0
2210406O10Rik,0,0.021,0,0.005,0.007,0.004,0.005,0.006,0,0.011,0,0.012,0.037,0
2210407C18Rik,0,0.008,0,0,0,0.118,0,0.008,0,0,0.022,0.134,0,0
2210408I21Rik,0.086,0.023,0.025,0.038,0.036,0.031,0.031,0.045,0.064,0.029,0.049,0.08,0.062,0.143
2210417A02Rik,0,0.003,0,0.014,0.006,0,0,0,0,0,0,0,0,0
2210418O10Rik,0,0.001,0,0,0,0.001,0,0,0,0.001,0,0,0,0
2300005B03Rik,0,0.002,0,0,0,0.005,0,0,0,0,0,0,0,0
2300009A05Rik,0.178,0.531,0.659,0.323,0.314,0.293,0.162,0.216,0.316,0.312,0.226,0.45,0.352,0.193
2310001H17Rik,0.1,0.007,0.184,0.244,0.328,0.022,0.058,0.018,0.185,0.019,0.004,0.007,0,0
2310008N11Rik,0,0.001,0,0.002,0,0.006,0,0,0,0,0,0,0,0
2310009B15Rik,0.548,0.595,0.233,0.302,0.342,0.518,0.385,0.429,0.192,0.466,0.263,0.46,0.091,0.172
2310010G23Rik,0,0.006,0.005,0.002,0.004,0.01,0.003,0.004,0.018,0.01,0,0,0,0
2310011J03Rik,0.323,0.465,0.542,0.623,0.413,0.593,0.672,0.511,0.354,0.566,0.253,0.472,0.906,0.547
2310015A10Rik,0.053,0.062,0.021,0.07,0.063,0.034,0.078,0.088,0.056,0.06,0.02,0.023,0.32,0.292
2310015D24Rik,0,0.003,0,0,0,0.004,0,0,0,0.017,0,0,0,0
2310016D23Rik,0,0.005,0,0,0,0.011,0,0,0,0,0,0,0,0
2310022A10Rik,0.127,0.109,0.062,0.096,0.07,0.099,0.076,0.099,0.094,0.122,0.046,0.049,0.248,0
2310022B05Rik,0.572,0.313,0.367,0.433,0.293,0.333,0.577,0.899,0.198,0.751,1.154,1.303,1.572,0.919
2310030G06Rik,0.013,0.024,0,0,0,0.007,0,0.018,0,0.016,0.066,0.087,0,0.189
2310033P09Rik,0.189,0.185,0.489,0.373,0.351,0.211,0.268,0.251,0.209,0.189,0.067,0.249,0.434,0.388
2310035C23Rik,0.201,0.141,0.269,0.242,0.243,0.154,0.31,0.268,0.186,0.123,0.089,0.262,0.181,0.11
2310036O22Rik,2.389,1.734,2.08,2.179,1.824,1.728,1.591,1.653,1.002,1.783,1.26,1.908,1.332,0.974
2310039H08Rik,0.109,0.89,0.318,0.278,0.279,0.458,0.365,0.479,0.579,0.562,0.969,0.447,0.089,1.044
